variant,overall,straight,steady,transient
V0,0.02037333405483562,0.008988866808145386,0.03628846246694002,0.05160751153404332
V1,0.02007201867210435,0.007999990377313762,0.036358753481768036,0.051617763971328647
V2,0.016796217345723428,0.007638020383507062,0.028758184100589345,0.04475135275027286
V3,0.016379852226315945,0.006379853084290042,0.028742537377983334,0.04477783528919441
