path,n,duration_s,v_mean,rmse_pred,rmse_null,rmse_imu
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000080--129cd7e602/13/sim.csv,2899,57.96,15.081341566057262,6.380267627888387,6.74170931905894,3.5052455558330307
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000011--8d0ad83de4/18/sim.csv,2899,57.96,14.944720020696792,6.039822122118846,6.66918940781506,2.663516489426118
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/e353ed44ddfe5e54/00000079--bfe6af6bc0/6/sim.csv,2899,57.96,24.139599344601592,12.350529892396917,0.27675704274171575,5.242378328933079
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/0000000d--18f34de554/22/sim.csv,2900,57.98,27.092806206896554,2.305646536628725,2.8999553194049086,9.16246354930012
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/782e2a95dc911de8/00000013--8fa0c5ed5b/276/sim.csv,2901,58.0,11.81170716442606,2.456929266503677,13.856203221204069,2.5685933442668762
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/d3c87dabe00b1184/00000039--baec40e8e9/26/sim.csv,2900,57.98,8.536507371068964,5.0611112997048675,3.564133255363472,0.8885653320839784
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/782e2a95dc911de8/00000003--4a20fc81fe/80/sim.csv,2899,57.96,25.687069886167645,9.992442167092369,1.0991040340969533,2.0473451400678915
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/a5865b5a25a5f95b/00000002--4a56003426/13/sim.csv,2901,58.0,20.428684660461908,1.1650770927044511,2.348500369871622,2.5849481150917324
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/d3c87dabe00b1184/00000013--c67db227b6/13/sim.csv,2899,57.96,12.625680141428077,8.890263015542265,1.8521891122432446,3.655274794203564
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/e353ed44ddfe5e54/000000ae--9e41179e79/25/sim.csv,2899,57.96,12.776180286305621,9.287727168795218,7.412756582838674,2.223083607105938
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/782e2a95dc911de8/00000003--4a20fc81fe/103/sim.csv,2899,57.96,25.21820113832356,4.51075159637198,3.3115283631528074,0.39800636689392466
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000014--3f1a9222a5/23/sim.csv,2900,57.98,21.764576896551723,0.34631022701038655,4.72733169849911,3.776350455728996
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/65/sim.csv,2899,57.96,37.415008934115214,9.109258282892474,6.369187822892098,2.728869685310397
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/782e2a95dc911de8/00000002--997bd890f0/147/sim.csv,2899,57.96,10.173662914798205,6.515855902709078,5.854273161009027,1.7909816656096935
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/782e2a95dc911de8/00000013--8fa0c5ed5b/281/sim.csv,2900,57.98,23.80853703448276,4.793041029453822,2.7834365188613592,0.41132047602335536
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000004--8b07172f47/4/sim.csv,2899,57.96,10.1675566806485,17.232983408774118,20.927807719162228,1.5193287035314895
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/d3c87dabe00b1184/00000012--e6dd6e8504/5/sim.csv,2900,57.98,8.299832988272415,6.632397021553205,6.744984093941601,7.013530839406275
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/10/sim.csv,2899,57.96,33.891359951707486,6.098868505389678,1.8994614836586536,1.8911781524599116
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000043--3cb5a94433/1/sim.csv,2898,57.94,5.51669288126294,3.9458262188442355,6.8583959270015145,1.92880286862975
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/782e2a95dc911de8/00000003--4a20fc81fe/67/sim.csv,2899,57.96,27.269241704035878,4.012153244700416,1.3219139939650004,7.722916799551665
./data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/79/sim.csv,2899,57.96,16.76138180751984,7.125661360704304,13.584268504045793,4.677686882604842
