variant,delta_straight,delta_steady,delta_transient,dominant_regime
V0,0.0,0.0,0.0,straight
V1,-0.003836509491360842,-5.117029177795912e-05,0.0004997718925797354,straight
V2,-0.0017623759628999473,0.0027643872846223605,0.0055461030528762,transient
V3,-0.001767300336539883,0.003089196168969452,0.005862933648802977,transient
