variant,overall,straight,steady,transient,marginal_vs_prior
V0,0.016126693427858562,0.008767649053409378,0.031732608798717137,0.05679653615132672,0.0
V1,0.014692643558468811,0.004931139562048536,0.03168143850693918,0.05729630804390645,0.001434049869389751
V2,0.01652906309491067,0.007005273090509431,0.0344969960833395,0.06234263920420292,-0.0018364195364418585
V3,0.016634945246098938,0.007000348716869495,0.03482180496768659,0.0626594698001297,-0.00010588215118826835
