variant,overall_rmse,straight,steady,transient,marginal_drop_from_prev
V0_baseline,0.014509960782406933,0.00890152912684487,0.027061267195629877,0.04892902816719505,
V1_bias_per_seg,0.012621119914296364,0.004739221621415957,0.026731734312307298,0.04883841480294456,0.0018888408681105688
V2_ST_prior_Calpha,0.020352020245996885,0.014146896017029884,0.036520547274825205,0.060648703523381524,-0.00773090033170052
V3_ST_fit_Calpha_LOSO,0.02188208885238311,0.017864726903460224,0.033602515888272684,0.055375648309500695,-0.001530068606386225
V4_Ridge_residual_LOSO,0.02143136059566529,0.018362481730522975,0.03004228657612074,0.05168049038249019,0.0004507282567178181
