variant,RMSE_all_test_rads,RMSE_straight_test,RMSE_steady_test,RMSE_transient_test,n_test,RMSE_all_test_degps_degps,RMSE_straight_test_degps,RMSE_steady_test_degps,RMSE_transient_test_degps
"V0 baseline (pred - meas, no preprocessing)",0.01767512362847079,0.008494646484094794,0.0403555189695002,0.05256271357941409,141758,1.012709986283334,0.48670739199427526,2.3122009170124946,3.011621647855408
V1 per-platform bias removal (b=+0.00163 rad/s),0.017709980583981686,0.008447438777999815,0.040506470173486735,0.052778517917612254,141758,1.0147071427207837,0.48400258967453896,2.3208497839133417,3.0239863256347768
"V2 per-platform affine gain+bias on yaw_pred (α=1.0795, β=-0.00065)",0.016821880577920167,0.009016135338501065,0.03829291100329304,0.04448674326936499,141758,0.9638227605879157,0.5165865024148669,2.194022185758762,2.5489026336166356
V3 + per-segment lag align (k=3 samples = 60 ms),0.016568033237870657,0.008903775709100871,0.03815077606397715,0.041829245595461126,141758,0.9492783793624565,0.5101487698625817,2.185878453614613,2.396639232836111
"V4 + per-segment bias (CALIBRATION, not model improvement — rule 8)",0.01480032525472092,0.004006745472981246,0.03804151620158688,0.04186288675683668,141758,0.8479961725163938,0.2295696051849742,2.1796183246294705,2.3985667294008484
