variant,overall,straight,steady,transient,marginal_drop
V0_baseline,0.011896483798214562,0.008525265180349635,0.023305800451357894,0.0521869694774725,
V1_KS_recal,0.010133908256747952,0.004981361790301156,0.023952437726755118,0.054055475075655696,0.00176257554146661
V2_ST_prior_Ca,0.012005773394596951,0.00432630859455625,0.031212383344676044,0.06518261882847766,-0.001871865137849
V3_ST_fit_Ca,0.011803778027943149,0.004123065608612931,0.030717806828689135,0.06461714285362606,0.00020199536665380276
V4_resid_learner_LOSO,0.010026363876175583,0.004216592008276592,0.024328935777266487,0.05613637281921218,0.0017774141517675653
