platform,n_files,n_samples,yaw_rmse_v0,yaw_rmse_v1,cte_rmse_v0,cte_rmse_v1
FORD_F_150_LIGHTNING_MK1,35,101691,0.015088070487567742,0.006472863559599082,114.2778117639531,43.96658456259839
FORD_MUSTANG_MACH_E_MK1,48,139219,0.012154921234963074,0.007732002987552968,129.81793234449563,95.54701861318102
HYUNDAI_IONIQ_5,160,464004,0.018281209028823145,0.010377233228454895,160.01606588961747,86.60796466923189
