variant,test_overall,test_straight,test_steady,test_transient,marginal,params
V0 baseline,0.016133271697693366,0.008781048669665318,0.03146899472159533,0.057434659096849965,0.0,{}
V1 +bias,0.016140268527923895,0.008744977788626138,0.031547632526763604,0.057504165829415164,-6.9968302305288554e-06,"{""bias_rads"": 0.0007538650000000003}"
V2 +gain,0.015580290973153024,0.009466258515020795,0.029663962358057912,0.051478649503518,0.0005599775547708713,"{""bias_rads"": 0.0007538650000000003, ""gain"": 1.0686794838837985}"
V3 +lag1,0.015745609297851078,0.00954082700065135,0.02969797987286034,0.05298328326125629,-0.00016531832469805427,"{""bias_rads"": 0.0007538650000000003, ""gain"": 1.0686794838837985, ""lag_samples"": 1}"
