variant,test_overall,test_straight,test_steady,test_transient,marginal,params
V0 baseline,0.02037333405483562,0.008988866808145386,0.03628846246694002,0.05160751153404332,0.0,{}
V1 +bias,0.020063487805597,0.007990594761259571,0.03634413631999327,0.05160910254295874,0.00030984624923861837,"{""bias_rads"": 0.0044223105}"
V2 +gain,0.016345424214982855,0.00628971206647598,0.02854072204440106,0.045193476121943535,0.003718063590614145,"{""bias_rads"": 0.0044223105, ""gain"": 0.8592065635379378}"
V3 +lag1,0.016509842216742097,0.0063758859573326415,0.028547888733231063,0.04623639568579481,-0.00016441800175924157,"{""bias_rads"": 0.0044223105, ""gain"": 0.8592065635379378, ""lag_samples"": 1}"
