variant,overall,straight,steady,transient,delta_overall_vs_prev
V0_baseline,0.011775887647122006,0.009132051661138417,0.021751236393440412,0.03436582578659273,0.0
V1_KS_recalib_bias,0.009092264076817097,0.004977111489221018,0.021103832037648124,0.03360287974327444,0.0026836235703049088
V2_linearST_prior_Ca,0.009811964372207653,0.0030688401525778585,0.02599476153328755,0.03920754389905549,-0.000719700295390556
V3_linearST_fit_Ca,0.009970138853789761,0.003178943019136146,0.026396941230168842,0.039683927002061796,-0.00015817448158210803
V4_residual_learner,0.009706292454756547,0.003363046609514052,0.02508310650409329,0.03918782946191337,0.00026384639903321433
