platform,variant,rmse_yaw_degs,rmse_ay_mps2,corr_yaw,corr_ay
FORD_MUSTANG_MACH_E_MK1,baseline,0.4155157403779703,0.06126798350233924,0.877238687463486,0.5712641860315452
FORD_MUSTANG_MACH_E_MK1,yaw_bias,0.4201509793884012,0.04695095078954702,0.8772386874634859,0.5712641860315452
FORD_MUSTANG_MACH_E_MK1,linear_st,0.4090889803420906,0.058862023388745716,0.8795925993834057,0.5706875062127975
FORD_MUSTANG_MACH_E_MK1,linear_st+bias,0.4098203493899953,0.045542103609103844,0.879592599383406,0.5706875062127974
FORD_MUSTANG_MACH_E_MK1,wheelbase_fit,0.9384845959802939,0.25994457471765964,0.8772386874634861,0.571264186031545
FORD_F_150_LIGHTNING_MK1,baseline,1.0606500246884862,0.40421959562933574,0.9579309812701389,0.9162435526491652
FORD_F_150_LIGHTNING_MK1,yaw_bias,0.7326852425346644,0.4555689704956257,0.9579309812701389,0.9162435526491652
FORD_F_150_LIGHTNING_MK1,linear_st,0.8482223740174886,0.3111000320351054,0.957520804090656,0.9158720690277815
FORD_F_150_LIGHTNING_MK1,linear_st+bias,0.566217291743831,0.36289745975454635,0.957520804090656,0.9158720690277816
FORD_F_150_LIGHTNING_MK1,wheelbase_fit,2.3448016135825394,0.40061828909878416,0.9579309812701384,0.9162435526491652
