platform,segment,variant,rmse_yaw_degs,rmse_ay_mps2,corr_yaw,corr_ay,n
FORD_MUSTANG_MACH_E_MK1,1,baseline,0.702977945080138,0.05192903929648631,0.7993916528744407,0.25993188830489566,2898
FORD_MUSTANG_MACH_E_MK1,1,yaw_bias,0.06451001594891753,0.041918578524528,0.7993916528744406,0.25993188830489566,2898
FORD_MUSTANG_MACH_E_MK1,1,linear_st,0.7085321150378424,0.05125662783663056,0.8036510358921629,0.25992763935908053,2898
FORD_MUSTANG_MACH_E_MK1,1,linear_st+bias,0.0631222535769319,0.041793876794575,0.8036510358921632,0.2599276393590805,2898
FORD_MUSTANG_MACH_E_MK1,1,wheelbase_fit,0.4509509749718349,0.12526041625145942,0.7993916528744408,0.25993188830489555,2898
FORD_MUSTANG_MACH_E_MK1,2,baseline,0.1280535356758026,0.07060692770819217,0.9550857220525313,0.8825964837581947,2898
FORD_MUSTANG_MACH_E_MK1,2,yaw_bias,0.7757919428278848,0.051983323054566044,0.9550857220525311,0.8825964837581947,2898
FORD_MUSTANG_MACH_E_MK1,2,linear_st,0.10964584564633885,0.06646741894086088,0.9555341628746487,0.8814473730665144,2898
FORD_MUSTANG_MACH_E_MK1,2,linear_st+bias,0.7565184452030587,0.04929033042363269,0.9555341628746487,0.8814473730665144,2898
FORD_MUSTANG_MACH_E_MK1,2,wheelbase_fit,1.4260182169887528,0.3946287331838598,0.9550857220525315,0.8825964837581944,2898
FORD_F_150_LIGHTNING_MK1,1,baseline,1.368765738127612,0.5851250888523385,0.9175871316832793,0.8961011424985637,2898
FORD_F_150_LIGHTNING_MK1,1,yaw_bias,0.7344980915058712,0.44983142975182727,0.9175871316832793,0.8961011424985637,2898
FORD_F_150_LIGHTNING_MK1,1,linear_st,1.1246888279349778,0.39626583616875594,0.9166698934393356,0.8973379938215555,2898
FORD_F_150_LIGHTNING_MK1,1,linear_st+bias,0.39776197488900383,0.2506005877277668,0.9166698934393356,0.8973379938215555,2898
FORD_F_150_LIGHTNING_MK1,1,wheelbase_fit,1.014367094212514,0.2977065996477973,0.9175871316832787,0.8961011424985641,2898
FORD_F_150_LIGHTNING_MK1,2,baseline,0.7525343112493603,0.22331410240633298,0.9982748308569984,0.9363859627997667,2898
FORD_F_150_LIGHTNING_MK1,2,yaw_bias,0.7308723935634577,0.4613065112394241,0.9982748308569984,0.9363859627997667,2898
FORD_F_150_LIGHTNING_MK1,2,linear_st,0.5717559200999993,0.2259342279014548,0.9983717147419764,0.9344061442340075,2898
FORD_F_150_LIGHTNING_MK1,2,linear_st+bias,0.734672608598658,0.475194331781326,0.9983717147419764,0.9344061442340077,2898
FORD_F_150_LIGHTNING_MK1,2,wheelbase_fit,3.675236132952565,0.5035299785497711,0.9982748308569983,0.9363859627997663,2898
