variant,note,all,straight,steady_corner,transient_corner
V0_baseline,raw KS pred,0.016133271697693366,0.008591093639281651,0.04038995792214877,0.057804130577397646
V1_bias,-+0.00075 rad/s,0.016140268527923895,0.008564849114424376,0.0404526854574137,0.05791076467647975
V2_gain,k=1.0687,0.015580290973153024,0.009216483802022437,0.03786815253374497,0.051156781168383667
V3_lag,lag=1 samples (+0.02s),0.01552545143204382,0.009179329644231534,0.03799195662019265,0.049583756527403364
