n,rmse_yaw,mae_yaw,bias_yaw,rmse_ay,bias_ay,std_yaw_meas,mean_v,plat,seg
2899,0.0066596912184708895,0.005198489696630527,0.0011889154278634355,0.1518502976385097,-0.012562845898896178,0.0062850561711080884,28.4106653328734,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/78/sim.csv
2899,0.007213437605537325,0.004686352551914454,0.0033571153109348047,0.13857874419873828,0.03234715858271818,0.06840614391133483,16.76138180751984,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/79/sim.csv
2001,0.03752777835520376,0.014162150336368265,-0.009127622934489207,0.34827524073511795,0.05679653653888856,0.21564729370689736,9.424732748625686,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/80/sim.csv
2870,0.036348519990261445,0.020853169756442858,0.0022853793383243895,0.3690451798217128,0.22683582775550526,0.18775826255974334,15.270036543554005,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/12/sim.csv
1444,0.009757807874626961,0.009271980263760388,0.009254497715283933,0.2005565326264658,0.1865337616668975,0.013240739525141597,13.316087423822715,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/13/sim.csv
2898,0.011323815331921347,0.009506895318257418,0.00467420770542098,0.4613397102897124,0.22424145378861282,0.048943919444671344,23.85664310904072,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/17/sim.csv
2897,0.012090292309895796,0.00943279041396272,0.0064385815413358655,0.22846416652062373,0.1563444516383155,0.07228111676708898,15.489224017949603,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/18/sim.csv
2899,0.012835204211187489,0.009939179368180407,0.007522627567421524,0.22642957670590147,0.11587679119527422,0.07370595189655026,17.273204939634354,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/19/sim.csv
2897,0.0182652773038933,0.017799101315922335,0.017799101315922335,0.5782207667714191,0.556860598468357,0.006930760753799703,30.709441042457716,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/5/sim.csv
2899,0.0029693746399538073,0.002259900686374267,0.000865924564948258,0.13171555344590904,-0.0019580999434287666,0.01881975835679905,12.793928661607449,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000017--e6fd2d2ec2/10/sim.csv
2898,0.003619480676049176,0.0026875474591962663,0.001576132167228164,0.15489363988414168,-0.03734585773277905,0.007243453738556367,10.54907788819876,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000017--e6fd2d2ec2/12/sim.csv
2899,0.03805422929000869,0.017940793540206966,-0.005879113029044498,0.3860254150756089,-0.004386748898068298,0.2134571931719604,10.051270286305622,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000017--e6fd2d2ec2/14/sim.csv
2900,0.00853901338859902,0.00537420123167931,0.0004635461240999999,0.21274686618044455,0.055647807950068955,0.10252645872333695,13.669027103448276,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/27/sim.csv
1883,0.0031975194660954316,0.002091605201816782,-0.0006330426929330855,0.09405254025754171,-0.03843487414827403,0.014066180361765454,13.932253797132235,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/32/sim.csv
2901,0.0041849883379031895,0.003566397541989314,-0.0023450103474812133,0.24014049623304776,0.17646843425070666,0.02522438115835868,14.881048428128231,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/35/sim.csv
2570,0.004012202367985927,0.00313321136897821,-0.0010602695094607002,0.17686032322775835,-0.08064062454634241,0.05888799879450742,14.602587638132295,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/36/sim.csv
1540,0.0022126564940902734,0.0016731600809012988,-0.0007881142876311689,0.14552554798060535,-0.08766853561785713,0.005543545782730182,13.787354194805195,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/38/sim.csv
2812,0.0036056327936512854,0.0028259325002880516,-0.0016672236889509245,0.30718036690171213,-0.00839770075800142,0.008027790543901797,14.948559032716927,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/40/sim.csv
2901,0.006568786475379499,0.005195602185249914,0.0013921485347845567,0.4377621963383568,0.10614245663384694,0.0704535444065348,15.225254705274045,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/11/sim.csv
2835,0.014549397507988187,0.007447149413897707,-0.0014940750855731925,0.3758845518877261,-0.21811105815097,0.12110633440507035,12.967274328042327,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/13/sim.csv
1257,0.0039866251993201695,0.0033220445824980113,0.0028414512364359585,0.1598378864231735,0.04103319361177407,0.008271418661797003,11.552507923627685,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/16/sim.csv
2900,0.011380895950070613,0.006586588465448276,0.0008553371668275861,0.2668295246782787,0.11452445820523104,0.08565110656054206,15.57376140689655,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/22/sim.csv
1353,0.0038979031497690425,0.0029703588445011086,0.0007339731849150037,0.3031357039636899,-0.013923654727642282,0.02552120109943256,8.584034671101255,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/9/sim.csv
2081,0.001636820044381911,0.0013037277808601634,0.0011055476845314755,0.05390302309462291,0.03918188528529553,0.0020734545188559636,7.934532239308026,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000003f--28df82aefa/36/sim.csv
2899,0.0069135059033529865,0.004921209215777855,0.0028097848250224215,0.33255385096718026,0.2577694226743705,0.03287556701496828,16.40654642980338,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000042--c02c26948e/8/sim.csv
1540,0.0034215371261345755,0.0026912522075987016,-0.0013657078777805198,0.21367174966838504,-0.14244793278842338,0.013796979780607071,10.158173675324674,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000043--3cb5a94433/1/sim.csv
2761,0.009200431032164136,0.0061853333462459255,-0.0008471415135766026,0.18764800671803605,-0.08756535031865267,0.06883065334189147,15.126377145961609,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000043--3cb5a94433/4/sim.csv
1889,0.006314245800390562,0.005236511901344627,0.004591502588586554,0.42865508077060466,0.3150649187249338,0.05247830826619852,9.622006977236634,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/10/sim.csv
2898,0.01111104967662443,0.010591215031464114,0.010589957681567633,0.666939753404043,0.6450328593909592,0.004376416458547192,32.96784993098689,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/12/sim.csv
2898,0.011891053198343417,0.011626982423924431,0.011626982423924431,0.3570682073494832,0.3483179722650759,0.002823031333858598,29.232577260179433,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/13/sim.csv
2898,0.01098441979422575,0.009438309535629102,0.007663483860749877,0.6097177020248827,0.41715414692891656,0.015560317896210167,34.13106652864044,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/15/sim.csv
2898,0.009468880704035898,0.006894422781306418,0.006346565315681849,0.6989311386821719,0.2316216756489303,0.02743115616370608,19.728137201518287,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/20/sim.csv
2898,0.0016877756828104326,0.001341847284394755,-0.00012463278692753633,0.39947552332746783,0.38964933668146995,0.003434177165171023,6.983771221532091,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/24/sim.csv
2899,0.0015225663170893417,0.0012294401070227666,-0.0007659415495760608,0.4255930827314924,0.42322763002690583,0.0029178716031982494,5.943329041048639,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/25/sim.csv
2898,0.0032827374590056915,0.002958754444444445,-0.002942618854382333,0.4767000646462526,0.47001200661145615,0.003365216526393863,3.902472774327122,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/33/sim.csv
1467,0.0016739745903176755,0.0014171308370497615,0.001319023869198364,0.45064172622125626,-0.4473662593526244,0.0020285258404754893,3.7941982208588954,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/37/sim.csv
2638,0.004475224258098123,0.003922316473297953,0.0038732469835329798,0.30836048614665573,-0.29670876560121306,0.005986249727471024,8.708548460955269,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/47/sim.csv
2898,0.0066138798308577025,0.005539660576803312,0.004562693433946169,0.31772831287899306,0.1876511381863354,0.014169451783946284,21.881832332643203,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/50/sim.csv
2900,0.004879759299208568,0.0032222677228344824,0.0001334236629999999,0.3280739524888144,0.21212792764900001,0.019118977740700264,14.720892689655171,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/52/sim.csv
2898,0.004798023528329438,0.0038112537138405797,0.0023845488840269153,0.22749657502301426,0.1405990634562112,0.006942313786738552,17.430180583160798,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/53/sim.csv
2899,0.015002844409089071,0.012961159534791307,-0.012240828897813038,0.649925537962911,-0.3481889721645396,0.019061961629506633,31.590488444291136,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000001--36030103a7/14/sim.csv
2329,0.009838101224234157,0.005340520080792186,-0.0048168646382357235,0.1359278306310004,-0.02456844402511808,0.09301345447399202,13.4587449076857,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000001--36030103a7/29/sim.csv
