all,straight,cornering_steady,cornering_transient,n_total,n_straight,n_steady,n_transient,variant,delta_all_vs_prev
0.01612669323249372,0.012594684649353373,0.02302052451033816,0.04083212048790994,913626,780690,94846,38090,V0_baseline,0.0
0.015719047120008867,0.012435059435980883,0.022529185811715105,0.038645804348437236,913626,780690,94846,38090,V1_delta_lowpass,0.0004076461124848524
0.01395158820856186,0.009955825862333697,0.021646113625497888,0.038347698858572386,913626,780690,94846,38090,V2_bias_removed,0.0017674589114470077
0.011025545315944019,0.009673341590296635,0.011796682918708367,0.025522597163285414,913626,780690,94846,38090,V3_perseg_gain_fit,0.002926042892617841
0.010771105985829822,0.009498340065506154,0.010912636737740749,0.025241519790649092,913626,780690,94846,38090,V4_ST_understeer_plus_gain,0.0002544393301141968
