subset,rmse_deg_s
baseline,2.7626301154706763
C1_alpha,2.568463251228352
C2_Ku,2.6680965779502737
C3_tau,2.7569284510363015
C1_alpha+C2_Ku,2.5509937620515517
C1_alpha+C3_tau,2.5642060835942817
C2_Ku+C3_tau,2.6629233102050254
C1_alpha+C2_Ku+C3_tau,2.5472745961876484
