scheme,variant,rmse_rad_s,rmse_deg_s
cumulative,V1_baseline,0.047865558008428094,2.742494457921548
cumulative,V2_understeer,0.7317516935087556,41.92628368960225
cumulative,V3_steerRatio,0.5880359936384004,33.69198063726207
cumulative,V4_lag,0.3152980381067849,18.065246872273775
isolation,only understeer (V2),0.7317516935087556,41.92628368960225
isolation,only steerRatio (alpha),0.045771837642450644,2.622533117470454
isolation,only lag (tau),0.04770101486011811,2.7330668299755905
