yaw_rate_pred_rads,yaw_rate_meas_rads,delta_road_rad,yaw_rate_resid_rads
0.01603545249959065,0.0206081,0.00205333,0.0160706
0.01604102454526732,0.0200593,0.00205333,0.0155163
0.016050993219826785,0.0194044,0.00205333,0.0148515
0.01606845751051528,0.0181948,0.00205333,0.0136245
0.01607206821177981,0.0168674,0.00205333,0.0122935
0.01610827552926921,0.0166,0.00205333,0.0119902
0.01608919204355854,0.0166,0.00205333,0.0120092
0.018341133872090395,0.0164035,0.00205333,0.0117952
0.01809839705838912,0.0153944,0.00195066,0.0110126
0.018115581475093505,0.015,0.00195066,0.0106012
0.017751512429843144,0.0152179,0.00179709,0.0111592
0.01743223950480886,0.0159695,0.00165834,0.0122088
0.016908058911830563,0.0163835,0.00143977,0.0131134
0.01615715403705155,0.0164028,0.00113075,0.0138355
0.01595057765075199,0.0154813,0.00104057,0.0131079
0.01592398893996761,0.0157834,0.00102666,0.0134354
0.013694981015316573,0.0160123,0.00102666,0.0136595
0.013698324128764981,0.0150161,0.00102666,0.0126604
0.013707986634851406,0.014211,0.00102666,0.0118466
0.013709118406497871,0.0134579,0.00102666,0.0110926
0.01371555594424798,0.0124079,0.00102666,0.0100369
0.013716776288559789,0.0133948,0.00102666,0.0110227
0.013728613124942111,0.0134005,0.00102666,0.011018
0.013736284612631797,0.013,0.00102666,0.0106106
0.01374335429074037,0.0135445,0.00102666,0.0111488
0.013749105859055038,0.0143998,0.00102666,0.011999
0.013758641967146545,0.0147936,0.00102666,0.0123843
0.01376520908091889,0.0151969,0.00102666,0.0127818
0.013771726132208159,0.0166031,0.00102666,0.0141823
0.013773743217133165,0.0168,0.00102666,0.0143774
0.013779196646036641,0.0164027,0.00102666,0.0139753
0.013784535574712141,0.0161944,0.00102666,0.0137622
0.01379099000116572,0.0160086,0.00102666,0.0135706
0.013800718538444199,0.0147876,0.00102666,0.012341
0.013800718538444199,0.0138208,0.00102666,0.0113742
0.013806091768672838,0.0142014,0.00102666,0.01175
0.016047931897512083,0.0149975,0.00102666,0.0125394
0.015803558844452475,0.015,0.00092432,0.0127741
0.01579789718463862,0.015006,0.000923998,0.012785
0.015565409364017244,0.0155643,0.000830486,0.0135638
0.015550633528196862,0.016,0.000821331,0.0140143
0.0133260542261514,0.0156027,0.000821331,0.0136087
0.013329722848484582,0.014799,0.000821331,0.0128019
0.01556958496604386,0.0143926,0.000821331,0.0123909
0.01534393001817793,0.0140267,0.000732348,0.0122393
0.015311399889319208,0.0143955,0.000718665,0.0126394
0.013078642527258873,0.0146,0.000718665,0.0128426
0.013081098155302617,0.0140175,0.000718665,0.0122581
0.013087631406326858,0.0136,0.000718665,0.0118353
0.013089242814027654,0.0145151,0.000718665,0.0127491
0.013090975067940415,0.014604,0.000718665,0.0128366
0.013096500745210606,0.0147828,0.000718665,0.0130108
0.013095144721658021,0.0138,0.000718665,0.0120291
