variant,fit,params,overall,straight,steady,transient,marginal_overall
V0_baseline,-,,0.02037333405483562,0.008988866808145386,0.03628846246694002,0.05160751153404332,
V1_bias,per-platform,b=0.00363,0.020047748264673343,0.008000880006041385,0.03629437457312295,0.05158084137037679,0.00032558579016227565
V2_gain,per-platform,k=0.8672,0.016371733696438483,0.006452616245896874,0.02865772567552626,0.04474069922346445,0.0036760145682348602
V3_lag,per-platform,n=3 samples (60 ms),0.0161389703079296,0.006311820657029007,0.028625388030770322,0.043355967808090694,0.00023276338850888173
V4_per_seg_bias,per-SEGMENT (calibration),N segment biases,0.014880172519725392,0.0059755285908959085,0.026471484831140712,0.03939536071106296,0.0012587977882042092
