variant,fit,params,overall,straight,steady,transient,marginal_overall
V0_baseline,-,,0.016133271697693366,0.008781048669665318,0.03146899472159533,0.057434659096849965,
V1_bias,per-platform,b=0.00023,0.01613167270149427,0.00876315300673873,0.031491147501497105,0.0574548732586841,1.5989961990973967e-06
V2_gain,per-platform,k=1.0948,0.015656773590969605,0.009788103873488652,0.029678142955289644,0.05021948934322124,0.0004748991105246632
V3_lag,per-platform,n=3 samples (60 ms),0.015411677060233206,0.009673228947787724,0.029662105344295937,0.04785369180342303,0.0002450965307363995
V4_per_seg_bias,per-SEGMENT (calibration),N segment biases,0.013225815265248485,0.006457344796223511,0.027973484563503476,0.0448275052330549,0.002185861794984721
