yaw_rate_pred_rads,yaw_rate_meas_rads,delta_road_rad,yaw_rate_resid_rads
0.0,0.0,0.0455839,0.0
0.0,-0.000181653,0.0455839,-0.000181653
0.0,1.80712e-05,0.0455839,1.80712e-05
0.0,0.000391756,0.0455839,0.000391756
0.0,0.000561709,0.0455839,0.000561709
0.0,3.94419e-06,0.0455839,3.94419e-06
0.0,0.0,0.0455839,0.0
0.0,-0.0002,0.0455839,-0.0002
0.0,-2.31267e-06,0.0455839,-2.31267e-06
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0002,0.0455839,0.0002
0.0,-1.89213e-05,0.0455839,-1.89213e-05
0.0,-4.74647e-06,0.0455839,-4.74647e-06
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0002,0.0455839,0.0002
0.0,0.0,0.0455839,0.0
0.0,-0.000178139,0.0455839,-0.000178139
0.0,0.0,0.0455839,0.0
0.0,0.0002,0.0455839,0.0002
0.0,0.0002,0.0455839,0.0002
0.0,0.0002,0.0455839,0.0002
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.000172091,0.0455839,0.000172091
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0004,0.0455839,0.0004
0.0,0.000375317,0.0455839,0.000375317
0.0,0.0,0.0455839,0.0
0.0,0.000418443,0.0455839,0.000418443
0.0,0.000173594,0.0455839,0.000173594
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,-0.0002,0.0455839,-0.0002
0.0,-0.0002,0.0455839,-0.0002
0.0,-0.000181352,0.0455839,-0.000181352
0.0,0.000387219,0.0455839,0.000387219
0.0,0.0004,0.0455839,0.0004
0.0,0.000206261,0.0455839,0.000206261
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,-8.8687e-05,0.0455839,-8.8687e-05
0.0,5.80302e-06,0.0455839,5.80302e-06
0.0,0.000199514,0.0455839,0.000199514
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,-0.000591216,0.0455839,-0.000591216
0.0,-0.000364903,0.0455839,-0.000364903
0.0,0.00079126,0.0455839,0.00079126
0.0,0.0002,0.0455839,0.0002
0.0,0.0002,0.0455839,0.0002
0.0,0.000313755,0.0455839,0.000313755
0.0,0.000584671,0.0455839,0.000584671
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0002,0.0455839,0.0002
0.0,0.000257526,0.0455839,0.000257526
0.0,0.0008,0.0455839,0.0008
0.0,0.000798885,0.0455839,0.000798885
0.0,0.000172806,0.0455839,0.000172806
0.0,-0.000197143,0.0455839,-0.000197143
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.000192889,0.0455839,0.000192889
0.0,0.0,0.0455839,0.0
0.0,0.000185425,0.0455839,0.000185425
0.0,0.0,0.0455839,0.0
0.0,5.61649e-05,0.0455839,5.61649e-05
0.0,0.0004,0.0455839,0.0004
0.0,0.000365786,0.0455839,0.000365786
0.0,0.0,0.0455839,0.0
0.0,-0.000192227,0.0455839,-0.000192227
0.0,4.36207e-05,0.0455839,4.36207e-05
0.0,0.000793785,0.0455839,0.000793785
0.0,0.000356615,0.0455839,0.000356615
0.0,-0.000220281,0.0455839,-0.000220281
0.0,-0.000391327,0.0455839,-0.000391327
0.0,0.000259028,0.0455839,0.000259028
0.0,0.000388406,0.0455839,0.000388406
0.0,-2.624e-05,0.0455839,-2.624e-05
0.0,-0.000177381,0.0455839,-0.000177381
0.0,0.0,0.0455839,0.0
0.0,0.0002,0.0455839,0.0002
0.0,0.0002,0.0455839,0.0002
0.0,0.000175241,0.0455839,0.000175241
0.0,0.0,0.0455839,0.0
0.0,0.000198902,0.0455839,0.000198902
0.0,0.000171158,0.0455839,0.000171158
0.0,-1.5822e-07,0.0455839,-1.5822e-07
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.0,0.0455839,0.0
0.0,0.00022222,0.0455839,0.00022222
0.0,0.0004,0.0455839,0.0004
