platform,csv,bias_rad,n_total,n_used,rmse_yaw_baseline,rmse_ay_baseline,rmse_yaw_v1_bias,rmse_ay_v1_bias,rmse_yaw_v2_understeer,rmse_ay_v2_understeer,rmse_yaw_v3_lag,rmse_ay_v3_lag,rmse_yaw_v4_per_platform_kus,rmse_ay_v4_per_platform_kus
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,0.00154911,2900,2900,0.0038432377248375817,0.2951707690139311,0.010427407398794969,0.21065390412573867,0.009210821312494838,0.14451899032676185,0.009180606499704359,0.14119545742974177,0.008709830679325998,0.08197043121103009
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/12/sim.csv,-0.000103274,2898,2728,0.01761748118815564,0.46756175550771234,0.017405337691147747,0.46138997446895375,0.009091570017203175,0.2914109685005815,0.008663181797595381,0.29410249216933926,0.006797768948517697,0.1904790763354902
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/4/sim.csv,-0.00144583,2899,2763,0.009262554143680143,0.19383093811129745,0.00998915756927327,0.23704560935522187,0.0061630631339796,0.17800230523059368,0.0060307814159466806,0.17511606095636773,0.0028232946439209266,0.13485013789606015
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/6/sim.csv,-0.00247857,2900,2900,0.017256291569566217,0.2803548452598766,0.010612541750046854,0.17519275003343227,0.006010976301475779,0.11623149154655761,0.005852152692551846,0.11318195739959257,0.006322315797892552,0.173992923218876
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/9/sim.csv,-0.000619644,2899,2899,0.00468313860574119,0.10374817635562317,0.0031389959875469846,0.11051650053441031,0.0021730474944977574,0.09170716269398879,0.002080350251818543,0.08930973744453227,0.0018778899154039178,0.084875913578984
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--4679c2eed3/1/sim.csv,-0.000413096,2900,2562,0.010074709471775823,0.2421427637730246,0.009662061406515057,0.24013330598807742,0.00831942950160026,0.23616073526037795,0.008330560440645857,0.2506351800545223,0.006118299199297903,0.24841414473525897
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--4679c2eed3/6/sim.csv,-0.000722917,2899,1899,0.010389357641599548,0.1926739998698164,0.011236395502541461,0.19853268940190272,0.008243278523702328,0.1800530148608533,0.008812919263953499,0.18349661446152968,0.004480719633588525,0.1636464690604628
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,-0.00340804,2862,2566,0.02071441874798047,0.3138769195508398,0.018746488370505687,0.2855947258637004,0.015501983347785271,0.2848270504143648,0.013049599194045304,0.30348541650892413,0.00977696651716181,0.3247805396965256
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/2/sim.csv,-0.000309822,2899,2515,0.011886268535621107,0.1465190043736555,0.011551452518524182,0.1446831894457734,0.008884692481436125,0.13650472134768285,0.0082172705708833,0.15276772864888175,0.004025467700128396,0.15438088519562054
FORD_F_150_LIGHTNING_MK1,FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,-0.00051637,2899,2899,0.0037897645676562416,0.10583536674563492,0.003625104182347297,0.10873642230246289,0.0031172269961505243,0.10147911023068759,0.002851253544163874,0.09572374991206109,0.0026296905663044765,0.09211148686610882
