variant,label,overall,straight,steady,transient,marginal_drop
V0,KS (as shipped),0.025696279792591092,0.01008652838137496,0.0562918210665094,0.08927587628247044,
V1,KS recalibrated + per-seg bias,0.024630279303374584,0.005054381958681067,0.05671735202873007,0.09060871978570129,0.0010660004892165086
V2,"Linear ST, prior C_alpha + bias",0.02530521696444561,0.0034808666205038558,0.05873251370082706,0.09434977026301188,-0.0006749376610710248
V3,"Linear ST, fit C_alpha + bias",0.025053739686835982,0.0035772776628117914,0.058088608162351375,0.09339764366681089,0.0002514772776096262
V4,V3 + Ridge residual learner (LOO),0.02583086820574381,0.004119189901995812,0.06099201718546974,0.09352219277034948,-0.0007771285189078284
