variant,overall,straight,steady,transient,oof_rmse_learner_only
V0_baseline,0.01574864771222513,0.010949835097377554,0.044113207037290936,0.06378838771990247,
V1_ks_recal,0.013677256615409469,0.0066155219147955805,0.04521832024556723,0.06737597809655774,
V2_linear_st_prior,0.01605830483705015,0.0035140495701743474,0.06071548545812521,0.08513871246976655,
V3_linear_st_fit,0.0158117391231127,0.0036756360602463543,0.059526820687259084,0.08367325453004786,
V4_residual_learner,0.014994451443817565,0.003755338683445742,0.05453481571024067,0.08119154455051246,0.014994451443817565
