variant,all,straight,steady,transient
V0,0.01612669323249372,0.008590110016819566,0.042366215688936025,0.08152256896690667
V1,0.014142710952360969,0.005769646277882835,0.03965248909981307,0.07817530846999893
V2,0.013843096854599822,0.00555885729738926,0.03917571879851763,0.05577628025217997
V3,0.01606602376278815,0.008481755786725545,0.042330984327346416,0.08164072122836413
V4,0.013795831139391309,0.005467515939301978,0.03912546407211645,0.05587437902728345
