variant,rmse_degps_all,n_all,rmse_degps_straight,n_straight,rmse_degps_steady,n_steady,rmse_degps_transient,n_transient
V0_baseline,0.9241618305399726,182790,0.4775725321993058,140792,1.3385861052086425,33581,2.635667124446425,9260
V1_bias,0.9259746488710238,182790,0.47531352258328335,140792,1.3450868295041194,33581,2.6424126893820032,9260
V2_bias_lag,0.9112080365761448,182790,0.467872563207452,140792,1.3451866376266535,33581,2.553531060390628,9260
V3_bias_lag_gain,0.8787276581494827,182790,0.504756411746411,140792,1.3369570593957214,33581,2.2155430541060843,9260
