technique,yaw_rmse,delta_vs_V0,pct_of_total
offset,0.014249651168114101,0.00017800063549027086,0.00017800063549027086
lag,0.014425808120731187,1.8436828731847182e-06,1.8436828731847182e-06
scale,0.012381238631352499,0.002046413172251873,0.002046413172251873
K_us,0.012047274117119788,0.002380377686484584,0.002380377686484584
