,overall,straight,steady,transient
V0,0.01563180106076755,0.01044400115846181,0.033604368399183786,0.053226526622452155
V1,0.013809888260566814,0.006052922060879108,0.03476649846946112,0.05571483795647958
V2,0.01648441326643444,0.0034009167053578346,0.04559382908144132,0.06990364191084283
V3,0.016586165204564945,0.0034786902629323413,0.04585209039957993,0.07027103360590668
V4,0.025018020489050694,0.004210954258025696,0.07143064238612837,0.1026664458133898
