variant,overall,straight,steady,transient
V0_baseline_in_csv,0.014025911080060526,0.012613043467578916,0.03192027941281629,0.03795964977480663
V1_KS_recalib+yawbias,0.009733694069951688,0.007373262915317294,0.02924483099539809,0.04054531756492473
V2_LinearST_priorCa,0.008248850919458577,0.003513391098355619,0.03459115865119028,0.0454412250708403
V3_LinearST_fitCa,0.00839170660090185,0.0036708224747382377,0.035174257504531056,0.04570497974920746
V4_residual_learner,0.009994705873510628,0.003793479288523543,0.04115857181265365,0.05838576580669005
