platform,variant,rmse_yaw_degs,delta_abs_degs,delta_rel_pct
FORD_F_150_LIGHTNING_MK1,A1+A2,0.6115116587345656,-0.44913817762499975,-42.3455661075254
FORD_F_150_LIGHTNING_MK1,A1+A2+A3,0.5282178089253585,-0.5324320274342068,-50.19866210149584
FORD_F_150_LIGHTNING_MK1,A1_bias,0.6185120115395983,-0.442137824819967,-41.68556008432553
FORD_F_150_LIGHTNING_MK1,A2_lag,1.0517691962027365,-0.008880640156828878,-0.8372829422488403
FORD_F_150_LIGHTNING_MK1,A3_wheelbase,0.9538225049916977,-0.1068273313678676,-10.071875533826285
FORD_F_150_LIGHTNING_MK1,baseline,1.0606498363595653,0.0,0.0
FORD_MUSTANG_MACH_E_MK1,A1+A2,0.08123423858428547,-0.33428144931838133,-80.44977820348522
FORD_MUSTANG_MACH_E_MK1,A1+A2+A3,0.08123423858428547,-0.33428144931838133,-80.44977820348522
FORD_MUSTANG_MACH_E_MK1,A1_bias,0.08667512442167458,-0.3288405634809922,-79.14034850063761
FORD_MUSTANG_MACH_E_MK1,A2_lag,0.41080403449284614,-0.00471165340982066,-1.133929126383394
FORD_MUSTANG_MACH_E_MK1,A3_wheelbase,0.41551574037797034,5.2475303546906105e-08,1.2628958442406217e-05
FORD_MUSTANG_MACH_E_MK1,baseline,0.4155156879026668,0.0,0.0
