file,platform,n,lag,bias,K_us,V0_straight_rmse,V0_straight_n,V0_steady_rmse,V0_steady_n,V0_transient_rmse,V0_transient_n,V0_all_rmse,V0_all_n,V1_straight_rmse,V1_straight_n,V1_steady_rmse,V1_steady_n,V1_transient_rmse,V1_transient_n,V1_all_rmse,V1_all_n,V2_straight_rmse,V2_straight_n,V2_steady_rmse,V2_steady_n,V2_transient_rmse,V2_transient_n,V2_all_rmse,V2_all_n,V3_straight_rmse,V3_straight_n,V3_steady_rmse,V3_steady_n,V3_transient_rmse,V3_transient_n,V3_all_rmse,V3_all_n
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/1/sim.csv,FORD_F_150_LIGHTNING_MK1,2898,1,0.011035598594191058,0.00045331962916751126,0.01529907572874419,923,0.05396634693804023,1115,0.05205197519281416,422,0.04327402736957695,2460,0.01516753868713235,923,0.05285236316464325,1115,0.04819387389493711,422,0.041843243283124984,2460,0.014261952817932006,923,0.05253312712098205,1115,0.047263875320208884,422,0.04135673854933578,2460,0.012055298239586279,923,0.030425741512699698,1115,0.027434850558340797,422,0.024560785463144875,2460
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/2/sim.csv,FORD_F_150_LIGHTNING_MK1,2900,2,0.0017994799251172429,0.00045331962916751126,0.026364468907584464,2000,0.08038682119951363,680,0.11774289615010268,220,0.055193403052637445,2900,0.0256325193149079,2000,0.0814258715194966,680,0.11682045368147824,220,0.0551640608778033,2900,0.025132713784291622,2000,0.08172719835260418,678,0.1125299547418068,220,0.05440484712404671,2898,0.012150465400076022,2000,0.03653451837777276,678,0.06127322249333919,220,0.02644193669015395,2898
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/7/sim.csv,FORD_F_150_LIGHTNING_MK1,2900,1,0.0073629998902557045,0.00045331962916751126,0.013301152106841692,1788,0.035484461915247706,463,0.04745913058514597,291,0.024731115763392247,2542,0.013172665511944447,1788,0.03351792144382872,463,0.04489534144012276,291,0.0236096234514319,2542,0.012524587437569956,1787,0.03329485744220467,463,0.042212795922201035,291,0.022723935184077337,2541,0.010148456536503477,1787,0.021700996294833744,463,0.03140885487048271,291,0.01646868057731387,2541
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000001b--58502a4256/18/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,5,0.01296530434746464,0.00045331962916751126,0.023265298373944518,2666,0.04346740337053431,233,,0,0.0254877937790549,2899,0.020936154273071002,2666,0.031239297297213912,233,,0,0.02194375799404569,2899,0.020912264939490204,2661,0.03089334620161032,233,,0,0.021885002632963214,2894,0.007904051859620252,2661,0.017484259430197362,233,,0,0.009058501271276196,2894
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000001f--dcdf978a3e/10/sim.csv,FORD_F_150_LIGHTNING_MK1,2897,0,0.004170639879150845,0.00045331962916751126,0.009891483636255182,2862,0.01871117827306142,35,,0,0.010044361602671073,2897,0.009002418314778842,2862,0.016850866175062273,35,,0,0.00913755782491414,2897,0.009002418314778842,2862,0.016850866175062273,35,,0,0.00913755782491414,2897,0.006246234446807798,2862,0.008825235838954318,35,,0,0.0062837125423280136,2897
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000027--fc6f91e108/60/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.007811724518575372,0.00045331962916751126,0.008270985840289527,2899,,0,,0,0.008270985840289527,2899,0.0027177503226305097,2899,,0,,0,0.0027177503226305097,2899,0.0027177503226305097,2899,,0,,0,0.0027177503226305097,2899,0.0023291118359180956,2899,,0,,0,0.0023291118359180956,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000027--fc6f91e108/61/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.007877635876960673,0.00045331962916751126,0.00899235351398904,1780,,0,,0,0.00899235351398904,1780,0.00433650489571649,1780,,0,,0,0.00433650489571649,1780,0.00433650489571649,1780,,0,,0,0.00433650489571649,1780,0.0039341147881283844,1780,,0,,0,0.0039341147881283844,1780
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000027--fc6f91e108/63/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,2,0.002845233340974396,0.00045331962916751126,0.013854126777886208,2390,0.04235216233726224,226,0.07229218246062719,196,0.02591452322378669,2812,0.013024224438017677,2390,0.04214289834272686,226,0.07350106035011843,196,0.025757856299614447,2812,0.012256023462462599,2388,0.04238127336893965,226,0.06509822258001828,196,0.023826487957224918,2810,0.009220992172152316,2388,0.026109364192223036,226,0.042131820174729724,196,0.015839782743687535,2810
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000029--a480d64c58/28/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.006761091273925493,0.00045331962916751126,0.007947845333572586,2899,,0,,0,0.007947845333572586,2899,0.0041780246806403755,2899,,0,,0,0.0041780246806403755,2899,0.0041780246806403755,2899,,0,,0,0.0041780246806403755,2899,0.0027696102395994475,2899,,0,,0,0.0027696102395994475,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000029--a480d64c58/29/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,-0.00259956996012418,0.00045331962916751126,0.014401372300225278,2899,,0,,0,0.014401372300225278,2899,0.014164807099008298,2899,,0,,0,0.014164807099008298,2899,0.014164807099008298,2899,,0,,0,0.014164807099008298,2899,0.005870722341097655,2899,,0,,0,0.005870722341097655,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000031--ff360e6173/17/sim.csv,FORD_F_150_LIGHTNING_MK1,2898,0,0.008476417501997817,0.00045331962916751126,0.008610387670587749,1449,0.028833354174379888,304,0.034658031292373846,79,0.01576046094749359,1832,0.00489513014455071,1449,0.02664121901397434,304,0.030385510476496742,79,0.013286928750064693,1832,0.00489513014455071,1449,0.02664121901397434,304,0.030385510476496742,79,0.013286928750064693,1832,0.0044609837565523225,1449,0.020581313847648247,304,0.025227055517355886,79,0.010652384894979274,1832
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/12/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,2,0.0020669373318793183,0.00045331962916751126,0.006553728946307046,1401,0.024396008874996863,605,0.03989062064281641,165,0.017734517993458647,2171,0.006523588824076867,1401,0.024728636194144882,605,0.03845103472873767,165,0.01761365659158802,2171,0.006387424153093922,1399,0.024571190761723673,605,0.03499274459415029,165,0.016966650745001016,2169,0.00520994297786569,1399,0.013654938855982441,605,0.0219712646040255,165,0.010307221320139146,2169
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/24/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.0050204070151638495,0.00045331962916751126,0.006168068273502019,2761,0.011416804321233388,135,,3,0.006509431792906879,2899,0.0035014912125545077,2761,0.010785405067191917,135,,3,0.004143454557322968,2899,0.0035014912125545077,2761,0.010785405067191917,135,,3,0.004143454557322968,2899,0.0030883804736370054,2761,0.00930989225312232,135,,3,0.0036311552288678614,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000039--52331242b4/41/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.008239028744004829,0.00045331962916751126,0.009402434282955783,2885,0.0057205630613852785,14,,0,0.009388124053223796,2899,0.0044166397051401875,2885,0.013210399075422319,14,,0,0.004500586472247967,2899,0.0044166397051401875,2885,0.013210399075422319,14,,0,0.004500586472247967,2899,0.00353666364327393,2885,0.008193377659247034,14,,0,0.003573762735652714,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003a--d832bc0086/10/sim.csv,FORD_F_150_LIGHTNING_MK1,2900,0,0.01029003607184224,0.00045331962916751126,0.01311561315043677,1886,0.025368151153909398,79,,0,0.013819415479084616,1965,0.008885788930189072,1886,0.015216264066792596,79,,0,0.009224500085302671,1965,0.008885788930189072,1886,0.015216264066792596,79,,0,0.009224500085302671,1965,0.006169381975297854,1886,0.013832882154346332,79,,0,0.0066501106516702,1965
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/20/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.0023569870036357367,0.00045331962916751126,0.019692509483959196,2415,0.084387000325437,394,0.08657185422936128,90,0.03903274213563261,2899,0.01910860052975838,2415,0.0845723039372861,394,0.0882418402247473,90,0.038961513970731186,2899,0.01910860052975838,2415,0.0845723039372861,394,0.0882418402247473,90,0.038961513970731186,2899,0.0073687752877866115,2415,0.026661578049340048,394,0.030790124285381224,90,0.013087197121370095,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/21/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,2,0.0029313742139337605,0.00045331962916751126,0.02088958502852014,2250,0.06664014904040778,447,0.07802490370714252,202,0.03804774798938308,2899,0.019533851986181492,2250,0.0671580713323388,447,0.08013521202289851,202,0.03793465661214674,2899,0.01921145201740867,2248,0.06631228546371513,447,0.07860080038253542,202,0.03735871605974295,2897,0.00929537489126277,2248,0.038603911888827454,447,0.04867845199245764,202,0.021499217863608203,2897
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/4/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.005444888996067088,0.00045331962916751126,0.007199445000396143,2037,0.0047098001587647,20,,0,0.00717939596619145,2057,0.004595492761751854,2037,0.010058455324178811,20,,0,0.004679413452546547,2057,0.004595492761751854,2037,0.010058455324178811,20,,0,0.004679413452546547,2057,0.0039941963865995096,2037,0.00559113985675463,20,,0,0.004012784008674899,2057
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/23/sim.csv,FORD_F_150_LIGHTNING_MK1,2899,0,0.006493530780786479,0.00045331962916751126,0.007041400830084813,2899,,0,,0,0.007041400830084813,2899,0.0027231202046361534,2899,,0,,0,0.0027231202046361534,2899,0.0027231202046361534,2899,,0,,0,0.0027231202046361534,2899,0.002318315680070013,2899,,0,,0,0.002318315680070013,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/32/sim.csv,FORD_F_150_LIGHTNING_MK1,2898,0,0.00814318246853347,0.00045331962916751126,0.008312890956254213,2898,,0,,0,0.008312890956254213,2898,0.0016711479092953463,2898,,0,,0,0.0016711479092953463,2898,0.0016711479092953463,2898,,0,,0,0.0016711479092953463,2898,0.0015658490475182155,2898,,0,,0,0.0015658490475182155,2898
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/41/sim.csv,FORD_F_150_LIGHTNING_MK1,2900,0,0.007180954813551725,0.00045331962916751126,0.008124614365350074,2900,,0,,0,0.008124614365350074,2900,0.003800427153805357,2900,,0,,0,0.003800427153805357,2900,0.003800427153805357,2900,,0,,0,0.003800427153805357,2900,0.0023513617271825266,2900,,0,,0,0.0023513617271825266,2900
