file,platform,n,lag,bias,K_us,V0_straight_rmse,V0_straight_n,V0_steady_rmse,V0_steady_n,V0_transient_rmse,V0_transient_n,V0_all_rmse,V0_all_n,V1_straight_rmse,V1_straight_n,V1_steady_rmse,V1_steady_n,V1_transient_rmse,V1_transient_n,V1_all_rmse,V1_all_n,V2_straight_rmse,V2_straight_n,V2_steady_rmse,V2_steady_n,V2_transient_rmse,V2_transient_n,V2_all_rmse,V2_all_n,V3_straight_rmse,V3_straight_n,V3_steady_rmse,V3_steady_n,V3_transient_rmse,V3_transient_n,V3_all_rmse,V3_all_n
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/67/sim.csv,FORD_MUSTANG_MACH_E_MK1,2899,0,-0.0013296130518640913,0.0005620270455522459,0.004478397444421306,2899,,0,,0,0.004478397444421306,2899,0.004276467327422476,2899,,0,,0,0.004276467327422476,2899,0.004276467327422476,2899,,0,,0,0.004276467327422476,2899,0.004947660257338853,2899,,0,,0,0.004947660257338853,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/68/sim.csv,FORD_MUSTANG_MACH_E_MK1,2899,0,-0.004667292928458089,0.0005620270455522459,0.006240197250360434,2899,,0,,0,0.006240197250360434,2899,0.004142033129197669,2899,,0,,0,0.004142033129197669,2899,0.004142033129197669,2899,,0,,0,0.004142033129197669,2899,0.0031304438280014197,2899,,0,,0,0.0031304438280014197,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/69/sim.csv,FORD_MUSTANG_MACH_E_MK1,2900,0,0.005602619745628965,0.0005620270455522459,0.009291546155550365,2900,,0,,0,0.009291546155550365,2900,0.007412387061305635,2900,,0,,0,0.007412387061305635,2900,0.007412387061305635,2900,,0,,0,0.007412387061305635,2900,0.004334759234863103,2900,,0,,0,0.004334759234863103,2900
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/71/sim.csv,FORD_MUSTANG_MACH_E_MK1,2899,0,-0.007008736913493618,0.0005620270455522459,0.008236871170988848,2899,,0,,0,0.008236871170988848,2899,0.004327083725200974,2899,,0,,0,0.004327083725200974,2899,0.004327083725200974,2899,,0,,0,0.004327083725200974,2899,0.002525357988121588,2899,,0,,0,0.002525357988121588,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/76/sim.csv,FORD_MUSTANG_MACH_E_MK1,2899,4,0.0013118365827095547,0.0005620270455522459,0.005361632011699702,2527,0.005975375896557579,372,,0,0.0054442585932761595,2899,0.0053393148055708925,2527,0.004890427461749933,372,,0,0.005283846743682695,2899,0.0051383025811202535,2523,0.00456688043935164,372,,0,0.005068484790968366,2895,0.0041696233709781075,2523,0.008970839582423042,372,,0,0.00504902830181763,2895
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/78/sim.csv,FORD_MUSTANG_MACH_E_MK1,2899,0,0.0011889154278634355,0.0005620270455522459,0.0066596912184708895,2899,,0,,0,0.0066596912184708895,2899,0.0065527068628748065,2899,,0,,0,0.0065527068628748065,2899,0.0065527068628748065,2899,,0,,0,0.0065527068628748065,2899,0.0033096485919338163,2899,,0,,0,0.0033096485919338163,2899
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/79/sim.csv,FORD_MUSTANG_MACH_E_MK1,2899,4,0.0033571153109348047,0.0005620270455522459,0.0044276263922529676,2587,0.01695121603841094,284,0.02572158667158635,28,0.007213437605537325,2899,0.004228437635915237,2587,0.014238989873991605,284,0.022628880201541024,28,0.006384626761061854,2899,0.0033040285694664454,2583,0.01387622765304937,284,0.008541341656877578,28,0.005416166860313714,2895,0.0037342912304351773,2583,0.024003863289643147,284,0.015861867170463353,28,0.008449815127175976,2895
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/80/sim.csv,FORD_MUSTANG_MACH_E_MK1,2900,2,-0.009127622934489207,0.0005620270455522459,0.005532290516054504,1673,0.10456804295967599,137,0.08150576491940255,191,0.03752777835520376,2001,0.012463720071539525,1673,0.09825581470793172,137,0.07480687772180868,191,0.036400833065234735,2001,0.01238769129292931,1671,0.09923213582569729,137,0.07145956097204588,191,0.035931121789584644,1999,0.015985478253241526,1671,0.1381892262320848,137,0.09511733362884575,191,0.04885493959351459,1999
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/12/sim.csv,FORD_MUSTANG_MACH_E_MK1,2898,0,0.0022853793383243895,0.0005620270455522459,0.013098099491485183,2448,0.09069656050627525,245,0.08754563595936435,177,0.036348519990261445,2870,0.010999921830693624,2448,0.09197383249977309,245,0.08919579682240374,177,0.03627660329692398,2870,0.010999921830693624,2448,0.09197383249977309,245,0.08919579682240374,177,0.03627660329692398,2870,0.01308081503964556,2448,0.12332722842107514,245,0.11181458054570467,177,0.0470679232290414,2870
/Users/javiquix/Desktop/quixdev/webinar-AI/webinar-angle-B/module-2/agent-01/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/17/sim.csv,FORD_MUSTANG_MACH_E_MK1,2898,0,0.00467420770542098,0.0005620270455522459,0.010614304018082218,2093,0.013079503800885663,787,0.008054199618556492,18,0.011323815331921347,2898,0.007913432787021417,2093,0.014984516528765682,787,0.005336267197682524,18,0.010314095985496747,2898,0.007913432787021417,2093,0.014984516528765682,787,0.005336267197682524,18,0.010314095985496747,2898,0.004335318891327106,2093,0.008435151974023105,787,0.008384156796250732,18,0.005773492686192328,2898
