segment,n,rmse_imu,rmse_model,v_mean
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,2899,1.0935070296007807,4.093443856715785,16.611205739910314
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,2898,1.9408026153339752,3.610160056382622,6.734752667356798
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,2899,0.3494321615249161,4.663574919777131,10.17744401200414
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,2899,1.042506517687228,2.8744214833528567,18.568952811314247
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/7/sim.csv,2900,2.958011805199103,4.687823024531539,15.219292524137929
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--97a534f1a0/15/sim.csv,2899,0.906760768629164,15.54010959012988,24.586635012073128
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000005--e426b5b81d/4/sim.csv,2900,0.35637517555621034,5.4966906218150005,9.172847480551724
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/0000000b--67a4656e36/5/sim.csv,2899,0.2753738244963485,4.511689507508491,8.615271275439806
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/0000000c--39663b29d3/10/sim.csv,2899,0.7561487128714056,4.211354455332058,10.447125444084167
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/0000000c--39663b29d3/3/sim.csv,2899,0.534794411738409,4.188402588680595,10.118651949706795
FORD_F_150_LIGHTNING_MK1/3b1f3f2a42d70b76/00000001--0f1d18d568/1/sim.csv,2897,2.0788689202178525,4.700800398943966,14.994063520883675
FORD_F_150_LIGHTNING_MK1/3b1f3f2a42d70b76/00000001--0f1d18d568/2/sim.csv,2902,0.9882859425412497,6.996241250485412,29.843826154376288
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000005--6086a5f078/18/sim.csv,2901,2.8100620662591673,6.19747207019328,9.765879586349534
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000005--6086a5f078/57/sim.csv,2899,2.5843019172912896,4.141871394937946,9.818943864091064
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000012--8341c0842a/155/sim.csv,2898,2.9156128790978304,0.9945895157251191,32.16232415458937
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000012--8341c0842a/445/sim.csv,2899,2.5352980889450007,6.230160735335548,30.251594791307344
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000012--8341c0842a/451/sim.csv,2898,4.326857975728561,16.087496341424586,24.33910728088337
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000024--8373f3162a/7/sim.csv,2900,2.516200630960023,5.636052097123695,16.541844840689656
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000040--df5cb976f3/101/sim.csv,2900,2.82508368464038,14.858238145365211,20.173266862068964
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000040--df5cb976f3/49/sim.csv,2898,2.40808286093891,11.851167653860571,28.619204140786753
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000045--aed49c0ec4/13/sim.csv,2900,5.497920937319208,7.2223805105159595,8.629232013793104
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/0000005c--e074674609/112/sim.csv,2899,0.9924012586433086,12.875866388416641,31.268463263194203
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/0000005c--e074674609/128/sim.csv,2899,1.3197797884816127,12.084947634848806,32.24949444636081
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/0000006a--9ddc7690f2/61/sim.csv,2899,2.756156050650695,1.2714195065683238,18.470646309072098
FORD_F_150_LIGHTNING_MK1/4580d36e7617c224/00000071--e6954c4586/4/sim.csv,2900,4.753888830072334,4.836082774205734,6.169372441275862
FORD_F_150_LIGHTNING_MK1/74e94569bd74054d/00000025--6dc27c3b23/3/sim.csv,2897,2.4444840164917716,4.062650748198779,7.13556611529168
FORD_F_150_LIGHTNING_MK1/a0a3c0b1c00408b0/00000005--8805bfc3b2/29/sim.csv,2899,0.0,0.0,0.0
FORD_F_150_LIGHTNING_MK1/a0a3c0b1c00408b0/00000005--8805bfc3b2/33/sim.csv,2900,0.0,0.0,0.0
FORD_F_150_LIGHTNING_MK1/a0a3c0b1c00408b0/00000005--8805bfc3b2/40/sim.csv,2899,2.3311178557881562,2.7044229556348185,8.297077587271474
FORD_F_150_LIGHTNING_MK1/a0a3c0b1c00408b0/00000005--8805bfc3b2/43/sim.csv,2899,4.967827951355164,14.879283840415363,26.216859054846495
FORD_F_150_LIGHTNING_MK1/a0a3c0b1c00408b0/00000005--8805bfc3b2/44/sim.csv,2899,1.4926701586765656,14.388671677379433,23.617268540876164
FORD_F_150_LIGHTNING_MK1/a0a3c0b1c00408b0/00000005--8805bfc3b2/48/sim.csv,2899,1.0325691046431582,9.467744476169255,24.898122628492583
FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/11/sim.csv,2899,1.9479482619201764,11.397337248450999,32.664524939634354
FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/12/sim.csv,2900,0.671500224912523,15.082803297722023,32.830365310344824
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/62/sim.csv,2899,2.775315512886111,2.9146387374403435,3.8075082118454637
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/65/sim.csv,2899,2.728869685310397,6.342849378716763,37.415008934115214
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/68/sim.csv,2899,7.047234828044576,9.971192381637264,28.534278923766813
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/71/sim.csv,2899,3.641065000010532,2.820197343591529,32.05686019317006
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/79/sim.csv,2899,4.677686882604842,5.231577599465631,16.76138180751984
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000016--fc495601a5/13/sim.csv,2898,6.8992633457828765,3.3001737231448325,6.657073933505865
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001c--0ea4bc4192/36/sim.csv,2901,4.624258938132123,10.134023321428458,12.98305840177663
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/11/sim.csv,2901,7.49926742455832,12.256818193810695,15.225254705274045
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000001d--8a5cbb31ce/16/sim.csv,2901,1.0601050091440478,3.6799745428114017,5.0333773611857975
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/0000003f--28df82aefa/36/sim.csv,2900,0.7046241306773308,5.612638447109072,5.864618117527586
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/10/sim.csv,2899,13.094098423317519,7.964959164834962,6.333571321452225
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/15/sim.csv,2898,2.5727808753128336,12.371696989411172,34.13106652864044
FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000044--72f29b9701/20/sim.csv,2898,2.462070505578251,25.25290268406299,19.728137201518287
