segment,regime,n,rmse_imu,rmse_model
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/4/sim.csv,accel,754,5.936366105050977,1.701655171192145
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/4/sim.csv,brake,568,6.33672005977815,1.1356026576185914
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/4/sim.csv,other,971,3.8975164881764672,1.2192273307549295
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/32/sim.csv,all,2898,3.309001715404728,7.257645661936065
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/32/sim.csv,brake,877,3.0674670969045392,7.771194473305677
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/32/sim.csv,coast,686,3.5071392128357615,8.08131000408967
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/32/sim.csv,other,1335,3.3566756754446585,6.41179071153952
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/41/sim.csv,all,2900,8.76745382273105,12.49195647473769
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/41/sim.csv,brake,249,10.272748527091272,12.03628218034741
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/41/sim.csv,coast,1425,9.472650646590179,15.082064273418572
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000043--caed1d8282/41/sim.csv,other,1226,7.489757639047425,8.677944401417935
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000047--02ba015938/14/sim.csv,all,2899,6.826775814590356,7.147077533027806
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000047--02ba015938/14/sim.csv,cruise,141,8.398017040903243,3.2813041774551897
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000047--02ba015938/14/sim.csv,accel,159,8.019412398824652,5.958371868219906
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000047--02ba015938/14/sim.csv,brake,954,6.447048423980063,6.225318882741687
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000047--02ba015938/14/sim.csv,coast,898,7.053385022505366,8.902655970939524
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000047--02ba015938/14/sim.csv,other,747,6.401307053954425,6.623867142013455
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000075--d55ce4eced/11/sim.csv,all,2900,17.88178247011407,5.2707496537407446
