t_s,delta_road_rad,v_mps,yaw_rate_pred_rads,yaw_rate_meas_rads,yaw_rate_resid_rads
0.0,0.00205333,6.59409,0.01675499704198123,0.0206081,0.0160706
0.02,0.00205333,6.60212,0.01676052259931113,0.0200593,0.0155163
0.04,0.00205333,6.61649,0.016770410800908964,0.0194044,0.0148515
0.06,0.00205333,6.64168,0.01678774439856029,0.0181948,0.0136245
0.08,0.00205333,6.64689,0.01679132947373946,0.0168674,0.0122935
0.1,0.00205333,6.69918,0.01682731096723639,0.0166,0.0119902
0.12,0.00205333,6.67161,0.016808339657698998,0.0166,0.0120092
0.14,0.00205333,6.69697,0.01682579023477075,0.0164035,0.0117952
0.16,0.00195066,6.70296,0.016599283465972996,0.0153944,0.0110126
0.18,0.00195066,6.72894,0.016616266780677465,0.015,0.0106012
0.2,0.00179709,6.73929,0.01627619739566536,0.0152179,0.0111592
0.22,0.00165834,6.76684,0.015978143785971403,0.0159695,0.0122088
0.24,0.00143977,6.77758,0.015487671723892668,0.0163835,0.0131134
0.26,0.00113075,6.77502,0.014784821198007083,0.0164028,0.0138355
0.28,0.00104057,6.80594,0.014590854177856969,0.0154813,0.0131079
0.3,0.00102666,6.82463,0.014565558452521103,0.0157834,0.0134354
0.32,0.00102666,6.83845,0.014570313293735922,0.0160123,0.0136595
0.34,0.00102666,6.84704,0.014573268726878853,0.0150161,0.0126604
0.36,0.00102666,6.87188,0.014581815055082624,0.014211,0.0118466
0.38,0.00102666,6.87479,0.014582816255367365,0.0134579,0.0110926
0.4,0.00102666,6.89135,0.014588513807503211,0.0124079,0.0100369
0.42,0.00102666,6.89449,0.014589594140456507,0.0133948,0.0110227
0.44,0.00102666,6.92496,0.014600077498764432,0.0134005,0.011018
0.46,0.00102666,6.94472,0.014606876027158414,0.013,0.0106106
0.48,0.00102666,6.96294,0.014613144710728167,0.0135445,0.0111488
0.5,0.00102666,6.97777,0.014618247047574461,0.0143998,0.011999
0.52,0.00102666,7.00237,0.014626710802558871,0.0147936,0.0123843
0.54,0.00102666,7.01932,0.014632542536176176,0.0151969,0.0127818
0.56,0.00102666,7.03615,0.014638332983183804,0.0166031,0.0141823
0.58,0.00102666,7.04136,0.014640125510154079,0.0168,0.0143774
0.6,0.00102666,7.05545,0.01464497324624068,0.0164027,0.0139753
0.62,0.00102666,7.06925,0.014649721206353885,0.0161944,0.0137622
0.64,0.00102666,7.08594,0.014655463485650218,0.0160086,0.0135706
0.66,0.00102666,7.11111,0.014664123352030609,0.0147876,0.012341
0.68,0.00102666,7.11111,0.014664123352030609,0.0138208,0.0113742
0.7,0.00102666,7.12502,0.014668909158202688,0.0142014,0.01175
0.72,0.00102666,7.14432,0.014675549421259561,0.0149975,0.0125394
0.74,0.00092432,7.18605,0.014443452061808587,0.015,0.0127741
0.76,0.000923998,7.17245,0.014438465370638174,0.015006,0.012785
0.78,0.000830486,7.1881,0.014218051981848525,0.0155643,0.0135638
0.8,0.000821331,7.21425,0.014203196321691161,0.016,0.0140143
0.82,0.000821331,7.24434,0.01421147844479679,0.0156027,0.0136087
0.84,0.000821331,7.2556,0.014214577703891817,0.014799,0.0128019
0.86,0.000821331,7.27241,0.014219204572931552,0.0143926,0.0123909
0.88,0.000732348,7.28253,0.01400482458402525,0.0140267,0.0122393
0.9,0.000718665,7.29157,0.013973608036530884,0.0143955,0.0126394
0.92,0.000718665,7.29708,0.013974935062278782,0.0146,0.0128426
0.94,0.000718665,7.30538,0.013976934030283782,0.0140175,0.0122581
0.96,0.000718665,7.32747,0.013982254175251306,0.0136,0.0118353
0.98,0.000718665,7.33292,0.013983566750628083,0.0145151,0.0127491
