variant,straight,steady,transient,overall
V0,0.007891682564717112,0.024726844505763148,0.046539547905214106,0.01803947829197356
V1,0.006440301083701001,0.024469481337175445,0.0464070048241145,0.017524684349486844
V2,0.006424362968362624,0.024459381263988098,0.046391546695637616,0.0175146628271355
V3,0.006298461310316276,0.024520093741335083,0.04533616153152281,0.017330647453412795
V4,0.006171813964401715,0.021247955996255806,0.04215991130496196,0.015679085790835066
