variant,rmse_yr_degs,rmse_a_y_mps2,corr_yr,bias_yr_degs,params,platform
B0_baseline,0.50531668617844,0.06200389153973528,0.46358012968936,0.31592656688001497,,FORD_MUSTANG_MACH_E_MK1
B1_yaw_bias,0.39437971270224614,0.11446302308976591,0.46358012968936,1.1015385894892125e-05,b=0.3159 deg/s,FORD_MUSTANG_MACH_E_MK1
B2_bias_plus_scale,0.3905203303423461,0.10845394778403597,0.4635801296893601,0.02599685382936962,"b=0.3159 deg/s, k=0.8188",FORD_MUSTANG_MACH_E_MK1
B3_bias_scale_lag,0.3893913334280312,0.10814341987374625,0.4681710161793327,0.026561073285764045,"b=0.3159, k=0.8188, lag=2s",FORD_MUSTANG_MACH_E_MK1
B0_baseline,1.1039004840531934,0.44290358500086136,0.9871451297979362,-0.8721768577949051,,FORD_F_150_LIGHTNING_MK1
B1_yaw_bias,0.6766890403821937,0.39369965764523335,0.9871451297979362,0.002061541533280738,b=-0.8742 deg/s,FORD_F_150_LIGHTNING_MK1
B2_bias_plus_scale,0.6155682382305461,0.37451474115457073,0.9871451297979368,0.07336459696335672,"b=-0.8742 deg/s, k=0.9332",FORD_F_150_LIGHTNING_MK1
B3_bias_scale_lag,0.6151394674951706,0.37450926267383605,0.9871626714789958,0.07324626701613907,"b=-0.8742, k=0.9332, lag=1s",FORD_F_150_LIGHTNING_MK1
