variant,N,RMSE_overall,RMSE_straight,RMSE_corner_steady,RMSE_corner_transient,marginal_drop,total_drop_vs_V0
V0_baseline,348060,0.015502305921713418,0.008404982633138023,0.04019837251500888,0.0528218160759981,,0.0
V1_seg_bias,348060,0.01357541531797214,0.006017225503657149,0.03711361188006169,0.04963192063959547,0.001926890603741278,0.001926890603741278
V2_time_align,348060,0.013129874139926084,0.0057980489968333234,0.03691267860510172,0.042259425728705925,0.000445541178046056,0.002372431781787334
V3_linear_ST,348060,0.014398661280109425,0.005211790431146283,0.04129232440588317,0.05142996835877816,-0.001268787140183341,0.001103644641603993
