variant,rmse_all,rmse_straight,rmse_steady,rmse_transient,n_straight,n_steady,n_transient,marginal_drop,cum_drop
V0,0.01612669323249372,0.01390517902080911,0.0291145957098739,0.039259124181084036,853793,28397,31436,0.0,0.0
V1,0.014142710952360969,0.011832806196016118,0.02660608278029319,0.03702506459577419,853793,28397,31436,0.001983982280132751,0.001983982280132751
V2,0.011112942120932173,0.01055075655428934,0.013615383467337615,0.019959390470709555,853793,28397,31436,0.003029768831428796,0.005013751111561547
V3,0.010769801890143937,0.0103258669565072,0.011223279116938222,0.019008762364487116,853793,28397,31436,0.0003431402307882362,0.005356891342349783
V4,0.01034716189086585,0.010166264950890735,0.009814749233829816,0.014747373934069158,852600,28376,31411,0.0004226399992780863,0.005779531341627869
