variant,label,rmse_straight,rmse_steady_corner,rmse_transient_corner,rmse_all
V0_baseline,per-platform (no fit),0.008197743383332365,0.030998278761954393,0.04831953345073214,0.01612669323249372
V1_bias_removal (b=+0.00075 rad/s),"per-platform fit, test-only",0.008170679068032103,0.03169812469831994,0.046937177277420444,0.016140268527923895
V2_steer_gain (k=1.0843),"per-platform fit, test-only",0.00881033783498878,0.031072106139955757,0.04004633937960413,0.015609402290770083
V3_lag_align (lag=+40ms),"per-platform fit, test-only",0.009046088300777844,0.031728679847093356,0.04392603114564452,0.016242337205176004
